44
0.0000000	-0.5000000
1.0000000	-0.5000000
1.0000000	0.5000000
0.0000000	0.5000000
0.0000000	0.5000000
-0.0435779	0.4980973
-0.0868241	0.4924039
-0.1294095	0.4829629
-0.1710101	0.4698463
-0.2113091	0.4531539
-0.2500000	0.4330127
-0.2867882	0.4095760
-0.3213938	0.3830222
-0.3535534	0.3535534
-0.3830222	0.3213938
-0.4095760	0.2867882
-0.4330127	0.2500000
-0.4531539	0.2113091
-0.4698463	0.1710101
-0.4829629	0.1294095
-0.4955301	0.0667077
-1.3723333	0.0666500
-1.4613333	0.1666667
-1.5000000	0.1666667
-1.5000000	-0.1666667
-1.4613333	-0.1666667
-1.3723333	-0.0666500
-0.4955324	-0.0666904
-0.4829629	-0.1294095
-0.4698463	-0.1710101
-0.4531539	-0.2113091
-0.4330127	-0.2500000
-0.4095760	-0.2867882
-0.3830222	-0.3213938
-0.3535534	-0.3535534
-0.3213938	-0.3830222
-0.2867882	-0.4095760
-0.2500000	-0.4330127
-0.2113091	-0.4531539
-0.1710101	-0.4698463
-0.1294095	-0.4829629
-0.0868241	-0.4924039
-0.0435779	-0.4980973
0.0000000	-0.5000000
