51
-1.00000000	0.00000000
0.00000000	0.00000000
0.05000000	0.00469303
0.10000000	0.00927051
0.15000000	0.01361971
0.20000000	0.01763356
0.25000000	0.02121320
0.30000000	0.02427051
0.35000000	0.02673020
0.40000000	0.02853170
0.45000000	0.02963065
0.50000000	0.03000000
0.55000000	0.02963065
0.60000000	0.02853170
0.65000000	0.02673020
0.70000000	0.02427051
0.75000000	0.02121320
0.80000000	0.01763356
0.85000000	0.01361971
0.90000000	0.00927051
0.95000000	0.00469303
1.00000000	0.00000000
3.00000000	0.00000000
3.00000000	1.00000000
1.50000000	1.00000000
1.45000000	0.99530697
1.40000000	0.99072949
1.35000000	0.98638029
1.30000000	0.98236644
1.25000000	0.97878680
1.20000000	0.97572949
1.15000000	0.97326980
1.10000000	0.97146830
1.05000000	0.97036935
1.00000000	0.97000000
0.95000000	0.97036935
0.90000000	0.97146830
0.85000000	0.97326980
0.80000000	0.97572949
0.75000000	0.97878680
0.70000000	0.98236644
0.65000000	0.98638029
0.60000000	0.99072949
0.55000000	0.99530697
0.50000000	1.00000000
-1.00000000	1.00000000
-1.00000000	1.10000000
3.10000000	1.10000000
3.10000000	-0.10000000
-1.00000000	-0.10000000
-1.00000000	0.00000000
